"geno","plant_id","tray","pot_pos","geno2","shelf","treatment","envelope","rep","cross","bd","h2_h1","h3_h2","h3_h1","i_dry","r_dry","A4","B4","A5","B5","A42","B42","AA","AB","BA","BB"
"20RV_20RV285","2H6008_16","2H6008",16,"76",6,"Sun",496,1,"bur_col",-0.823373927890408,1.34847919516329,0.141314085958641,1.13586962966158,0.349371764453416,-0.738557058363647,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV285","2L3008_16","2L3008",16,"76",3,"Shade",117,1,"bur_col",-1.45837633437157,0.233586083725098,-0.13770887278823,-0.0505822398988039,-1.34883228561686,-1.11582339796474,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV285","5L2023_11","5L2023",11,"76",2,"Shade",1085,2,"bur_col",0.206208781238798,1.77380415930492,0.656038096917666,1.8888559858229,1.9363502061764,0.549915721748545,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV285","8H6021_11","8H6021",11,"76",6,"Sun",1447,3,"bur_col",0.717352592007723,0.335630372640843,0.546195679733624,0.58619981645704,1.3286131812345,1.27247518444184,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV285","8L3021_11","8L3021",11,"76",3,"Shade",1005,3,"bur_col",0.206208781238798,1.42331229159025,-0.425040692242143,0.811780203580858,1.51877681173892,0.178661104665055,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV285","9H4022_16","9H4022",16,"76",4,"Sun",1471,4,"bur_col",0.717352592007723,0.616507413394477,1.08523177686995,1.21721597582739,1.31973682060954,0.472229565695229,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV285","9L1022_16","9L1022",16,"76",1,"Shade",1059,4,"bur_col",0.206208781238798,0.496969336649992,1.62163544269682,1.54384363595981,1.31478543525236,0.0860857750357706,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV288","2L2017_12","2L2017",12,"77",2,"Shade",NA,1,"bur_col",1.50084858465274,1.51323503027433,-2.01343826284898,-0.0572983760125556,NA,NA,0.999999999956817,4.31827906766102e-11,3.67333186090946e-07,0.999999632666814,0.999999999999998,1.88737914186277e-15,3.67333186075083e-07,0.999999632623631,1.58624720835376e-17,4.31827748141382e-11
"20RV_20RV288","5H4001_1","5H4001",1,"77",4,"Sun",1167,2,"bur_col",0.206208781238798,-1.36177378550166,1.3149357154579,-0.0520215102924773,0.49215116576857,0.603089788902986,0.999999999956817,4.31827906766102e-11,3.67333186090946e-07,0.999999632666814,0.999999999999998,1.88737914186277e-15,3.67333186075083e-07,0.999999632623631,1.58624720835376e-17,4.31827748141382e-11
"20RV_20RV288","5L1001_1","5L1001",1,"77",1,"Shade",768,2,"bur_col",-0.177391632843378,0.695539726983662,-0.352372172934729,0.249925405165827,0.315492211012296,-0.172577159316724,0.999999999956817,4.31827906766102e-11,3.67333186090946e-07,0.999999632666814,0.999999999999998,1.88737914186277e-15,3.67333186075083e-07,0.999999632623631,1.58624720835376e-17,4.31827748141382e-11
"20RV_20RV288","8H4018_2","8H4018",2,"77",4,"Sun",770,3,"bur_col",-0.041586431398386,-0.899508070064526,0.277997967397731,-0.508307272948435,-0.0279650240589116,0.476880194888455,0.999999999956817,4.31827906766102e-11,3.67333186090946e-07,0.999999632666814,0.999999999999998,1.88737914186277e-15,3.67333186075083e-07,0.999999632623631,1.58624720835376e-17,4.31827748141382e-11
"20RV_20RV288","8L1018_2","8L1018",2,"77",1,"Shade",271,3,"bur_col",-0.477416775850869,-0.922980270490216,1.35625207767742,0.265879294442183,0.404903773500883,0.186849984098124,0.999999999956817,4.31827906766102e-11,3.67333186090946e-07,0.999999632666814,0.999999999999998,1.88737914186277e-15,3.67333186075083e-07,0.999999632623631,1.58624720835376e-17,4.31827748141382e-11
"20RV_20RV288","9H6011_2","9H6011",2,"77",6,"Sun",566,4,"bur_col",-0.477416775850869,-0.467628074861939,0.656038096917666,0.0589579043528842,0.550208207602783,-0.0170096757207951,0.999999999956817,4.31827906766102e-11,3.67333186090946e-07,0.999999632666814,0.999999999999998,1.88737914186277e-15,3.67333186075083e-07,0.999999632623631,1.58624720835376e-17,4.31827748141382e-11
"20RV_20RV288","9L3011_2","9L3011",2,"77",3,"Shade",1776,4,"bur_col",1.50084858465274,0.616507413394464,0.368141189209912,0.682744132119947,NA,NA,0.999999999956817,4.31827906766102e-11,3.67333186090946e-07,0.999999632666814,0.999999999999998,1.88737914186277e-15,3.67333186075083e-07,0.999999632623631,1.58624720835376e-17,4.31827748141382e-11
"20RV_20RV289","2H5010_6","2H5010",6,"78",5,"Sun",183,1,"bur_col",-1.45837633437157,1.46058722559794,0.717085689380186,1.67503492084543,0.765435586286875,-0.224663623077001,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV289","2L2010_6","2L2010",6,"78",2,"Shade",90,1,"bur_col",-0.823373927890408,2.04516911926633,-0.473811537833831,2.45579040679037,-0.556858073463327,-0.257151166972805,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV289","5H4009_16","5H4009",16,"78",4,"Sun",1720,2,"bur_col",1.38286460619163,0.274519459754797,-0.621749971901668,-0.257275863634845,0.0847167776565196,0.789522901573601,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV289","5L1009_16","5L1009",16,"78",1,"Shade",1294,2,"bur_col",0.427028632720756,0.294927917394201,-0.848543596190362,-0.383016912643403,0.0732704900524043,1.1160693302456,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV289","8H5004_12","8H5004",12,"78",5,"Sun",1563,3,"bur_col",1.04480710111635,0.00553244152341662,0.435253511630953,0.249925405165827,1.16453445845014,2.00693476392833,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV289","8L2004_12","8L2004",12,"78",2,"Shade",1356,3,"bur_col",0.717352592007723,1.75555199898773,0.118356372104483,1.47836211007895,2.07600793444582,1.14273750018642,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV289","9H6012_12","9H6012",12,"78",6,"Sun",1695,4,"bur_col",1.25567441751391,1.17867392036165,-0.425040692242143,0.60227649391896,0.905678261775347,1.48240857764402,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV289","9L3012_12","9L3012",12,"78",3,"Shade",748,4,"bur_col",-0.041586431398386,0.130553695201923,-0.696673010685194,-0.414382328556856,-0.776478635476387,-0.816582252752692,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV290","2L1007_7","2L1007",7,"79",1,"Shade",NA,1,"bur_col",1.44293713015987,-0.121098136437449,0.808051525159321,0.330984409012301,NA,NA,4.31832347658201e-11,0.999999999956817,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-3.83544172118456e-26,4.31832347658201e-11,-8.88178419661771e-16,0.999999999956818
"20RV_20RV290","5H6021_6","5H6021",6,"79",6,"Sun",1561,2,"bur_col",0.888521299216401,-0.899508070064526,0.435253511630953,-0.398703155302864,-0.17924494606731,2.10963248089797,4.31832347658201e-11,0.999999999956817,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-3.83544172118456e-26,4.31832347658201e-11,-8.88178419661771e-16,0.999999999956818
"20RV_20RV290","5L3021_6","5L3021",6,"79",3,"Shade",1103,2,"bur_col",0.206208781238798,2.1167976252111,-0.646651728833705,1.28238381227897,1.55620714935428,1.13558811677041,4.31832347658201e-11,0.999999999956817,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-3.83544172118456e-26,4.31832347658201e-11,-8.88178419661771e-16,0.999999999956818
"20RV_20RV290","8H5010_14","8H5010",14,"79",5,"Sun",1504,3,"bur_col",0.888521299216401,-1.11393304382449,-0.721794282204056,-1.29533492271609,0.297376852903182,1.9999611149108,4.31832347658201e-11,0.999999999956817,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-3.83544172118456e-26,4.31832347658201e-11,-8.88178419661771e-16,0.999999999956818
"20RV_20RV290","8L2010_14","8L2010",14,"79",2,"Shade",1187,3,"bur_col",0.427028632720756,-0.0154578154079378,-1.05554772833919,-0.741958365169495,0.212333926401441,1.03803336397432,4.31832347658201e-11,0.999999999956817,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-3.83544172118456e-26,4.31832347658201e-11,-8.88178419661771e-16,0.999999999956818
"20RV_20RV290","9H4007_5","9H4007",5,"79",4,"Sun",1467,4,"bur_col",0.717352592007723,-0.489759646492591,0.546195679733624,-0.036186589734136,0.216166092881749,1.4911015549501,4.31832347658201e-11,0.999999999956817,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-3.83544172118456e-26,4.31832347658201e-11,-8.88178419661771e-16,0.999999999956818
